,answer,entities
0,"A cat is a small, domesticated mammal that is often kept as a pet","['A cat', 'a small , domesticated mammal that is often kept as a pet', 'a small , domesticated mammal', 'a pet']"
0,Magnets have a property called magnetic force,"['Magnets', 'a property called magnetic force', 'a property', 'magnetic force']"
0,There are several different types of energy,"['several different types of energy', 'several different types', 'energy']"
0,"The human circulatory system, also known as the cardiovascular system, is responsible for transporting blood, oxygen, and nutrients throughout the body","['The human circulatory system , also known as the cardiovascular system ,', 'The human circulatory system', 'the cardiovascular system', 'blood , oxygen , and nutrients', 'oxygen', 'nutrients', 'the body']"
0,Water can change from one state to another through a process called phase change,"['Water', 'one state', 'another', 'a process called phase change', 'a process', 'phase change']"
0,Simple machines are tools that help us do work more easily,"['Simple machines', 'tools that help us do work more easily', 'tools']"
0,"A plant cell has several important parts:

1","['A plant cell', 'several important parts : 1', 'several important parts']"
0,Sound is a form of energy that we can hear,"['Sound', 'a form of energy that we can hear', 'a form', 'energy']"
0,The seasons on Earth are caused by the tilt of the Earth's axis and its orbit around the Sun,"['The seasons on Earth', 'The seasons', 'Earth', ""the tilt of the Earth 's axis and its orbit around the Sun"", 'the tilt', ""the Earth 's axis"", ""the Earth 's"", 'its orbit around the Sun', 'its orbit', 'the Sun']"
0,"Solids, liquids, and gases are the three main states of matter","['Solids , liquids , and gases', 'the three main states of matter', 'the three main states', 'matter']"
0,The nervous system transmits messages through specialized cells called neurons,"['The nervous system', 'messages', 'specialized cells called neurons', 'specialized cells']"
0,Different animals have different ways of obtaining and transporting oxygen,"['Different animals', 'different ways of obtaining and transporting oxygen', 'different ways', 'oxygen']"
0,The digestive system helps break down food through a process called digestion,"['The digestive system', 'food', 'a process called digestion', 'a process', 'digestion']"
0,The phases of the moon refer to the different shapes or appearances of the moon as seen from Earth,"['The phases of the moon', 'The phases', 'the moon', 'the different shapes or appearances of the moon as seen from Earth', 'the different shapes or appearances', 'the moon', 'Earth']"
